input,output
"Nếubi ngáy nặng , bệnh nhân cầnđưc phẫu thoật:","Nếu bị ngáy nặng, bệnh nhân cần được phẫu thuật:"
"Với ýtưởng này , các nhà khoa họ dức giànhđược ngôi vị tien phon trong lĩnh vcdiều trị tim mạch"," Với ý tưởng này, các nhà khoa học Đức giành được ngôi vị tiên phong trong lĩnh vực điều trị tim mạch"
Những men nfy có khr năngtiêu diệtcác tế bào biểu môbjtổn thương gene, Những men này có khả năng tiêu diệt các tế bào biểu mô bị tổn thương gene
"Theo kơquan có tráchnhiem của ngành y tế , đầu tuần vừaqua tji địa bàn Q","Theo cơ quan có trách nhiệm của ngành y tế, đầu tuần vừa qua tại địa bàn Q"
"Trongsố 600 bác sĩdc đào tạo tại Zambia từ khi quốc gia nfy giành dược độc lập , 550 đã ra nuoc ngoài lam việc","Trong số 600 bác sĩ được đào tạo tại Zambia từ khi quốc gia này giành được độc lập, 550 đã ra nước ngoài làm việc"
Mẫu benh phẩm đang được xét nghiệm để định loại kháng nguyên N, Mẫu bệnh phẩm đang được xét nghiệm để định loại kháng nguyên N
- Loại dành cho nữ có thể đt vào bất cứ lúc nao trước khi quan he,- Loại dành cho nữ có thể đặt vào bất cứ lúc nào trước khi quan hệ
"Bài thuốc 1 : am sâm 30g, sinh địa 20g , huyền sâm 15g , kim ngân12g , cát căn 20g , đỗ đen sao 30g","Bài thuốc 1: Nam sâm 30g, sinh địa 20g, huyền sâm 15g, kim ngân 12g, cát căn 20g, đỗ đen sao 30g"
- Côn trùng hút máu chu khong bơm máu, - Côn trùng hút máu chứ không bơm máu
ChụpCT là việc dng phóng xạ để thu hình ảnh bên trong cơ thể và cho hình ảnhcó chat lượng tốt hơn phương pháp chụp X-quang truyền thống,Chụp CT là việc dùng phóng xạ để thu hình ảnh bên trong cơ thể và cho hình ảnh có chất lượng tốt hơn phương pháp chụp X-quang truyền thống
"Hiện nay bạn không tiêm ngừa đc , nhưng nếu sau6 tháng bạn khỏi bệnhcơ thể bạn đã có kháng the và cũng không cần phải chíchngừa nữa"," Hiện nay bạn không tiêm ngừa được, nhưng nếu sau 6 tháng bạn khỏi bệnh cơ thể bạn đã có kháng thể và cũng không cần phải chích ngừa nữa"
"Ở cácchung tăm tim mạch , việcchửa trị các bệnh hâ sau khi pị nhồi máu cơ tim không thễ thiếu vấn đề ồi phjc sức hỏe bằn cac bài tap rèn sức bền , tăng dần cường độ và thời gian","Ở các trung tâm tim mạch, việc chữa trị các bệnh nhân sau khi bị nhồi máu cơ tim không thể thiếu vấn đề hồi phục sức khỏe bằng các bài tập rèn sức bền, tăng dần cường độ và thời gian"
"Tốt nhất bạn nn đikhám phụkhoa đểkiểm tra siêu âm buồng trứng , tử cung , cần thiết sẻ định lượng hocmon để sác địnhnguyênnhân, tìm cách khắc phục"," Tốt nhất bạn nên đi khám phụ khoa để kiểm tra siêu âm buồng trứng, tử cung, cần thiết sẽ định lượng hocmon để xác định nguyên nhân, tìm cách khắc phục"
"Cũng có khi con bi chết , pàmẹmuốn nuoi con nuôi bằng chính nguồn sữa của mình"," Cũng có khi con bị chết, bà mẹ muốn nuôi con nuôi bằng chính nguồn sữa của mình"
"Thế nhưng , mặk cho d luận cảnhbáo , nhng gsnh hang ron tiềm ẩn những mầm họaấy vẫn ton tại , gâynhức nhối"," Thế nhưng, mặc cho dư luận cảnh báo, những gánh hàng rong tiềm ẩn những mầm họa ấy vẫn tồn tại, gây nhức nhối"
Họ thường dùng kem ỡ khóe mắt vì khóe mắt thường xuất hiện nếp nhăn sớm nhất trên mặt, Họ thường dùng kem ở khóe mắt vì khóe mắt thường xuất hiện nếp nhăn sớm nhất trên mặt
"- Mẹ có các bệnh lý cấp tính kèm với sot nghư viêm đài bể thận , nhiễm virus","- Mẹ có các bệnh lý cấp tính kèm với sốt như viêm đài bể thận, nhiễm virus"
Nếu khôn tuân thủ thì việc điề trị henphế quản se không cs hiệu quả, Nếu không tuân thủ thì việc điều trị hen phế quản sẽ không có hiệu quả
Kh được chậm trễ!,Không được chậm trễ!
"Thay vào đó , hãy chọn nhng xắcmàu trong suốt ,kèmtheo nước bóng ở khâu cuối cung để có một làn môi đầyđặn mạnh khỏe"," Thay vào đó, hãy chọn những sắc màu trong suốt, kèm theo nước bóng ở khâu cuối cùng để có một làn môi đầy đặn mạnh khỏe"
"95 gen trong nhiễm xắc thể 9 kó liên quan đến cac bệnh , trong đó kó mot gen mang tên CDKN2A ngăn chặn sự phát triển của bướu"," 95 gen trong nhiễm sắc thể 9 có liên quan đến các bệnh, trong đó có một gen mang tên CDKN2A ngăn chặn sự phát triển của bướu"
"Dùngviền mắt nước nâu vẽlẩn suống mí dướibên trái , tạo cảm giácto đềunhau"," Dùng viền mắt nước nâu vẽ lẩn xuống mí dưới bên trái, tạo cảm giác to đều nhau"
cóthểgây ức chế tập trung iod và ảnh hưởngđến quá trình tổng hợp hoóc môn tuyến giáp, có thể gây ức chế tập trung iod và ảnh hưởng đến quá trình tổng hợp hoóc môn tuyến giáp
"Triệu chứng cơ năng chủ yếu của bệnh là nghe kém , không có các dấu hiệu khác về bệnh học tai như đau tai, chảymủ tai","Triệu chứng cơ năng chủ yếu của bệnh là nghe kém, không có các dấu hiệu khác về bệnh học tai như đau tai, chảy mủ tai"
Một ly nước ép cà rot 160 ml cung cấp 64kcal,Một ly nước ép cà rốt 160 ml cung cấp 64kcal
"`` Có vẻ như đợt lây lan mới giống nghư lần truoc , song kém nghiêm trọng hwn '' , Chidchob nhận định"," ""Có vẻ như đợt lây lan mới giống như lần trước, song kém nghiêm trọng hơn"", Chidchob nhận định"
Ngwời Mcedoni đc tro là những người tìnhtuyệtvờinhất, Người Macedonia được cho là những người tình tuyệt vời nhất
"Từ năm 1969 , các nhà khoa học đã phát hiện trong một số loài vòi voi có alkaloid độc tính cao với gan , gây hủy hoại tổ chức gan , đau bụng, tiêu chảy , xuất huyết lan tỏa và cóthể gây ung thư","Từ năm 1969, các nhà khoa học đã phát hiện trong một số loài vòi voi có alkaloid độc tính cao với gan, gây hủy hoại tổ chức gan, đau bụng, tiêu chảy, xuất huyết lan tỏa và có thể gây ung thư"
Đôikhi tâmtrạng lo lắng quá lại ảnhhưởng tới xức khre làm chobệnh bùng phát, Đôi khi tâm trạng lo lắng quá lại ảnh hưởng tới sức khỏe làm cho bệnh bùng phát
"Cũng khong hề có một chữ nfo về thành phần , công dụng , nhãn hiệu"," Cũng không hề có một chữ nào về thành phần, công dụng, nhãn hiệu"
"Bóng nước có kích thước từ 2-10mm , màuxam , hình ô van , thường xuất hiện ở vùng mông , gối, lòng bàn tay , lòng bàn chân vàthường ấn không đau"," Bóng nước có kích thước từ 2-10mm, màu xám, hình ô van, thường xuất hiện ở vùng mông, gối, lòng bàn tay, lòng bàn chân và thường ấn không đau"
Tại sao đàn ông lăn ra ngủ sau mỗilần 'ấy' ?,Tại sao đàn ông lăn ra ngủ sau mỗi lần 'ấy'?
Tyra Bank : Hãngmỹ phẩm Revlon đã chọn co làm người mẫ,Tyra Bank: Hãng mỹ phẩm Revlon đã chọn cô làm người mẫu
Chún sẽ xuyên qua da và chỉ tác độnphân huy twng nhóm màumucxăm phù hợp với bước sóng củ tia, Chúng sẽ xuyên qua da và chỉ tác động phân hủy từng nhóm màu mực xăm phù hợp với bước sóng của tia
Canada viện trợ 128,Canada viện trợ 128
"Cung chỉ 10 ngày xau đó , cả anh Đồn và cậucon trai13tuổi đều tử vong do độc tố từ nấm quá mjnh"," Cũng chỉ 10 ngày sau đó, cả anh Đồn và cậu con trai 13 tuổi đều tử vong do độc tố từ nấm quá mạnh"
"Nghiêncứucủa Thượng Hải tiến hànhtrên 2 nhóm đố tượng , một nhóm là 832 phụ nữ trong độ tuổi từ 30 đến 69 , những người được chẩn đoán là bị ung thư tử cung , ung thư màng dạ con từ năm 1997 đến 2001 và nhóm còn lại là846 người cũng trong độ tuổi đó nhưng khôngcó những bệnh nói trên","Nghiên cứu của Thượng Hải tiến hành trên 2 nhóm đối tượng, một nhóm là 832 phụ nữ trong độ tuổi từ 30 đến 69, những người được chẩn đoán là bị ung thư tử cung, ung thư màng dạ con từ năm 1997 đến 2001 và nhóm còn lại là 846 người cũng trong độ tuổi đó nhưng không có những bệnh nói trên"
"Bệnhhâ cần ăn nhiều bua , đủ chất dinhdưỡng ; nếu nôn nhiều có thể nuôi quasondehoặc truyền tĩnh mạch","Bệnh nhân cần ăn nhiều bữa, đủ chất dinh dưỡng; nếu nôn nhiều có thể nuôi qua sonde hoặc truyền tĩnh mạch"
"000 hoc sinh ,tập trung w TP","000 học sinh, tập trung ở TP"
"Với phươngpháp chup X-quang , tổn thuong chỉ có the nhìn thấy khi sương dã hỏng ro ràng","Với phương pháp chụp X-quang, tổn thương chỉ có thể nhìn thấy khi xương đã hỏng rõ ràng"
"Được biết , nhà sản xuất dã cảnh báo về nguy cơ nhiễm trùng nghiêm trọng có thểdẫnđến tử von o một số trường hợp dùng thuốc hiếm hoi"," Được biết, nhà sản xuất đã cảnh báo về nguy cơ nhiễm trùng nghiêm trọng có thể dẫn đến tử vong ở một số trường hợp dùng thuốc hiếm hoi"
Tác dụng dược ls,Tác dụng dược lý
"- Khoai tây :Cung cấpkali , vitamin C , acid amino","- Khoai tây: Cung cấp kali, vitamin C, acid amino"
"Hôngngủ trưa hay uong cà ph : Nếu buổi tối bạng kho ngủ thì ban ngài đừng chợp mắt vờ hạn chế dung á thức uống có chất caffeine , nhat là từ sau uổi ăn trua"," Không ngủ trưa hay uống cà phê: Nếu buổi tối bạn khó ngủ thì ban ngày đừng chợp mắt và hạn chế dùng các thức uống có chất caffeine, nhất là từ sau buổi ăn trưa"
"Chi có 1 cháuhồi phục tốt , 2 cháu ki phải thở máy , trong đó có 1 tiên lượng xấu"," Chỉ có 1 cháu hồi phục tốt, 2 cháu kia phải thở máy, trong đó có 1 tiên lượng xấu"
Nó giúpgiảm đau tứk thoinhưng sau một thời gian gắ sẽ đau trở lại, Nó giúp giảm đau tức thời nhưng sau một thời gian ngắn sẽ đau trở lại
"Theu nghiên cứu này , ngữ giớidễ mắc ungthư da đầu - cỗ và nam dễ mwc ung thư da thân - chi hơn","Theo nghiên cứu này, nữ giới dễ mắc ung thư da đầu - cổ và nam dễ mắc ung thư da thân - chi hơn"
Mot xố ít không có triệu chung gì cả, Một số ít không có triệu chứng gì cả
Các nguyênnhângây chấn thương chủ yếubao gồm :,Các nguyên nhân gây chấn thương chủ yếu bao gồm:
"`` Hàng ngày ,tôi ngồi với những ngườiđang nhìn lại đống đổ nát của cuộc đời mik và tự hỏi Vì sao mìnhlại làmcông viec này ? `` , Patrick Carnes , Giám đốc Trung tâm điều trị chứng rối loạn tinh dục ở Arizona , Mỹ , nói","""Hàng ngày, tôi ngồi với những người đang nhìn lại đống đổ nát của cuộc đời mình và tự hỏi Vì sao mình lại làm công việc này?"", Patrick Carnes, Giám đốc Trung tâm điều trị chứng rối loạn tình dục ở Arizona, Mỹ, nói"
"Bệnh do virus Ebola gâi nên rất khó phát hiện ngay từ dau , do chỉ kó ột so triệu chứngtrung như sốt cao , đau khớp"," Bệnh do virus Ebola gây nên rất khó phát hiện ngay từ đầu, do chỉ có một số triệu chứng chung như sốt cao, đau khớp"
Sở Y tế phối hợp với các đoàn kiểm tra đột xuấtcác hồ boiề thực hiện thanh khử trùng nước, Sở Y tế phối hợp với các đoàn kiểm tra đột xuất các hồ bơi về thực hiện thanh khử trùng nước
"Theo báocáo , trng nwm 2005 , sẽ có hêm 600"," Theo báo cáo, trong năm 2005, sẽ có thêm 600"
ố máu nfy sẽ đợc lấi từ 150 sinh viên tình nguyen củaHọc viện Quân , Số máu này sẽ được lấy từ 150 sinh viên tình nguyện của Học viện Quân y
"Kết quả phân tích cũng cho thấy, chu kỳ kynh nguyệt không đều và tình trạng có kinh nguyệt sớm cũng làm tăng nguy cơ bị viêmkhớp mãn tính","Kết quả phân tích cũng cho thấy, chu kỳ kinh nguyệt không đều và tình trạng có kinh nguyệt sớm cũng làm tăng nguy cơ bị viêm khớp mãn tính"
"- Các tỉnh phía Năm: phát iện 5 bệnh nân , trong đó1 tử vong , một bệnh nh khoi bệnh","- Các tỉnh phía Nam: phát hiện 5 bệnh nhân, trong đó 1 tử vong, một bệnh nhi khỏi bệnh"
"Trong khi tắm, bạn có thể dùngbông tắm xátnhẹ nhànglên bàn tay để làm bong những tế bào chết","Trong khi tắm, bạn có thể dùng bông tắm xát nhẹ nhàng lên bàn tay để làm bong những tế bào chết"
"Xắc sinh địa và gừng lấy ngước , bỏ bã , nấu với gạo thànhcháo , thêm chút đường phèn cho đủ ngot , chia tànvài lần ăn trong ngày , lien tuc 3-5 ngày"," Sắc sinh địa và gừng lấy nước, bỏ bã, nấu với gạo thành cháo, thêm chút đường phèn cho đủ ngọt, chia thành vài lần ăn trong ngày, liên tục 3-5 ngày"
